route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
Golden / Boulder,3,FFFFFF,64A70B,RTD,GS,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,GS
North Washington,3,FFFFFF,0076CE,RTD,7,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,7
N Colorado Blvd Limited,3,FFFFFF,0076CE,RTD,93L,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,93L
Lincoln Station to Peoria Station,0,000000,C4D600,RTD,107R,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,R
120th Avenue Crosstown,3,FFFFFF,0076CE,RTD,120,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,120
Peoria Street,3,FFFFFF,0076CE,RTD,121,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,121
Boulder / Longmont,3,FFFFFF,64A70B,RTD,BOLT,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,BOLT
Union Station to Westminster Station,2,FFFFFF,4E9D2D,RTD,113B,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,B
West Bowles,3,FFFFFF,0076CE,RTD,59,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,59
Highlands Ranch Parkway,3,FFFFFF,0076CE,RTD,402L,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,402L
Sheridan Blvd,3,FFFFFF,0076CE,RTD,51,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,51
W 52nd Avenue / South Bannock,3,FFFFFF,0076CE,RTD,52,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,52
Central Park/ 72nd Ave Station,3,FFFFFF,0076CE,RTD,88,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,88
West 112th Avenue,3,FFFFFF,0076CE,RTD,112,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,112
Alameda Avenue,3,FFFFFF,0076CE,RTD,3,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,3
Brighton,3,FFFFFF,0076CE,RTD,520,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,520
Parker / Denver,3,FFFFFF,64A70B,RTD,PD,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,PD
Iris / Valmont,3,FFFFFF,0076CE,RTD,208,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,208
Lafayette / Louisville / Broomfield,3,FFFFFF,0076CE,RTD,228A,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,228A
Union Station to Wheat Ridge Ward Station,2,FFFFFF,F6B221,RTD,113G,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,G
Lafayette / Louisville / Broomfield,3,FFFFFF,0076CE,RTD,228F,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,228F
Southmoor Station to Florida Station,0,FFFFFF,0075BE,RTD,101H,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,H
Union Station to Littleton-Mineral Station,0,FFFFFF,008348,RTD,101D,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,D
Union Station to RidgeGate Parkway Station,0,FFFFFF,552683,RTD,101E,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,E
South Broadway,3,FFFFFF,0076CE,RTD,0B,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,0B
Longmont / Denver,3,FFFFFF,64A70B,RTD,LD1,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,LD1
Cherry Creek / Parker Rd Limited,3,FFFFFF,0076CE,RTD,83D,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,83D
Kipling Street,3,FFFFFF,0076CE,RTD,100,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,100
Evergreen / Denver,3,FFFFFF,64A70B,RTD,EV,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,EV
South Broadway Limited,3,FFFFFF,0076CE,RTD,0L,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,0L
Havana Street,3,FFFFFF,0076CE,RTD,105,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,105
Longmont / Denver,3,FFFFFF,64A70B,RTD,LD3,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,LD3
West 38th Avenue,3,FFFFFF,0076CE,RTD,38,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,38
West 32nd Avenue,3,FFFFFF,0076CE,RTD,32,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,32
Federal Blvd,3,FFFFFF,0076CE,RTD,31,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,31
South Federal Blvd,3,FFFFFF,0076CE,RTD,30,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,30
Smith Road Industrial,3,FFFFFF,0076CE,RTD,37,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,37
Fort Logan,3,FFFFFF,0076CE,RTD,36,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,36
Hampden Avenue,3,FFFFFF,0076CE,RTD,35,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,35
72nd Avenue,3,FFFFFF,0076CE,RTD,72,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,72
Arapahoe County / Denver Airport,3,FFFFFF,57C1E9,RTD,ATA,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,ATA
Boulder / Lafayette via Louisville,3,FFFFFF,0076CE,RTD,DASH,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,DASH
28th Avenue,3,FFFFFF,0076CE,RTD,28,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,28
Monaco Parkway,3,FFFFFF,0076CE,RTD,65,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,65
Arapahoe Road,3,FFFFFF,0076CE,RTD,66,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,66
Brighton / Denver Airport,3,FFFFFF,64A70B,RTD,145X,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,145X
Cherry Creek / Parker Rd Limited,3,FFFFFF,0076CE,RTD,83L,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,83L
East 6th Avenue,3,FFFFFF,0076CE,RTD,6,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,6
I-25 & Broadway Station to 30th & Downing Station,0,FFFFFF,FFFBF0,RTD,101S,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,S
30th Street,3,FFFFFF,0076CE,RTD,BOND,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,Bound
Boulder/ Nederland/ Eldora,3,FFFFFF,64A70B,RTD,NB2,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,NB2
Boulder/ Nederland/ Eldora,3,FFFFFF,64A70B,RTD,NB1,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,NB1
Free MetroRide,3,FFFFFF,00A19B,RTD,FMR,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,MetroRide
16th Street FreeRide,3,FFFFFF,675DC6,RTD,FREE,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Civic Ctr & Union Stn,FreeRide
South Kipling Street,3,FFFFFF,0076CE,RTD,99,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,99
Buckley Road,3,FFFFFF,0076CE,RTD,169,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,169
Boulder / Lafayette via Baseline,3,FFFFFF,0076CE,RTD,225,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,225
92nd Avenue,3,FFFFFF,0076CE,RTD,92,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,92
Union Station to Jefferson County Government Center-Golden Station,0,FFFFFF,009DAA,RTD,103W,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,W
Mississippi Avenue,3,FFFFFF,0076CE,RTD,11,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,11
East 12th Avenue,3,FFFFFF,0076CE,RTD,10,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,10
South Downing,3,FFFFFF,0076CE,RTD,12,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,12
East Colfax Avenue,3,FFFFFF,0076CE,RTD,15,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,15
West Florida Avenue,3,FFFFFF,0076CE,RTD,14,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,14
Golden/Colfax,3,FFFFFF,0076CE,RTD,17,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,17
West Colfax Avenue,3,FFFFFF,0076CE,RTD,16,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,16
North Pecos,3,FFFFFF,0076CE,RTD,19,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,19
Chambers Road,3,FFFFFF,0076CE,RTD,153,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,153
East Alameda Limited,3,FFFFFF,0076CE,RTD,3L,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,3L
Wagon Road / Denver Airport Limited,3,FFFFFF,0076CE,RTD,104L,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,104L
East 48th Avenue / Commerce City,3,FFFFFF,0076CE,RTD,48,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,48
Denver/ Commerce City,3,FFFFFF,0076CE,RTD,49,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,49
South Dahlia,3,FFFFFF,0076CE,RTD,46,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,46
44th Avenue,3,FFFFFF,0076CE,RTD,44,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,44
Montbello via 51st/GVR,3,FFFFFF,0076CE,RTD,45,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,45
Montbello via Albrook/GVR,3,FFFFFF,0076CE,RTD,42,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,42
Martin Luther King Blvd,3,FFFFFF,0076CE,RTD,43,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,43
Colorado Boulevard,3,FFFFFF,0076CE,RTD,40,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,40
West 1st Avenue,3,FFFFFF,0076CE,RTD,1,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,1
Boulder / Denver Airport,3,FFFFFF,57C1E9,RTD,AB1,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,AB1
Boulder / Denver Airport,3,FFFFFF,57C1E9,RTD,AB2,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,AB2
Boulder / Denver Airport,3,FFFFFF,57C1E9,RTD,AB3,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,AB3
Westside Crosstown,3,FFFFFF,0076CE,RTD,326,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,326
Eastside Crosstown,3,FFFFFF,0076CE,RTD,327,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,327
Main Street Crosstown,3,FFFFFF,0076CE,RTD,324,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,324
West 10th Avenue,3,FFFFFF,0076CE,RTD,9,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,9
Union Station to Eastlake & 124th Station,2,FFFFFF,9F26B5,RTD,117N,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,N
Union Station to Denver Airport Station,2,FFFFFF,57C1E9,RTD,A,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,A
28th St / Gunbarrel,3,FFFFFF,0076CE,RTD,205,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,205
Table Mesa / Moorhead / North 19th,3,FFFFFF,0076CE,RTD,204,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,204
Conestoga/ Arapahoe / Fairview H.S.,3,FFFFFF,0076CE,RTD,206,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,206
Broadway,3,FFFFFF,0076CE,RTD,SKIP,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,SKIP
Buckley / Tower DIA Limited,3,FFFFFF,0076CE,RTD,169L,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,169L
Wadsworth Blvd,3,FFFFFF,0076CE,RTD,76,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,76
Quebec Street,3,FFFFFF,0076CE,RTD,73,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,73
Arapahoe County / Denver Airport,3,FFFFFF,57C1E9,RTD,AT,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,AT
Parker Road - Lincoln Ave,3,FFFFFF,0076CE,RTD,483,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,483
Boulder / Lafayette/ Erie,3,FFFFFF,0076CE,RTD,JUMP,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,JUMP
Art District Connector,3,FFFFFF,0076CE,RTD,ART,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,ART
Wagon Road / Thornton Express,3,FFFFFF,64A70B,RTD,120X,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,120X
South Simms Express,3,FFFFFF,64A70B,RTD,116X,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,116X
Thornton / Brighton,3,FFFFFF,0076CE,RTD,120L,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,120L
East Colfax Limited,3,FFFFFF,0076CE,RTD,15L,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,15L
Thornton/Commerce City Limited,3,FFFFFF,0076CE,RTD,88L,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,88L
